timeframe,signal_date,ticker,rank,regime,regime_score,quality_score,rs_percentile,rs_excess,rsi,vol_ratio,vol_z,atr_pct,setup,signal_close,entry_trigger,planned_stop,planned_target,planned_rr,turnover20,triggered,outcome,entry_date,entry_price,exit_date,exit_price,hold_sessions,gross_r,net_r,resolved_date,setup_base,score_bucket,rs_bucket
1hari,2025-07-23,ASRI.JK,1,BULLISH,5,100.0,71.87141216991964,0.07465247582917978,60.108734928154604,3.093915186586758,1.5534697831718889,0.04353993202918679,Bullish Pullback/Reclaim,140.13157653808594,141.0,131.0,161.0,2.0,1453264908.9385986,True,TARGET,2025-07-24,141.0,2025-07-28,161.0,3.0,2.0,1.9385999999999997,2025-07-28,Pullback,85+,70-79
1hari,2025-07-23,BULL.JK,2,BULLISH,5,90.0,77.49712973593572,0.12168803959836949,59.41656234202623,1.2286839846720035,0.5478036403434513,0.05868986257908437,Bullish Engulfing,141.0,141.0,128.0,167.0,2.0,33385076000.0,True,STOP,2025-07-24,141.0,2025-08-05,128.0,9.0,-1.0,-1.040884615384615,2025-08-05,Other,85+,70-79
1hari,2025-07-23,AKRA.JK,3,BULLISH,5,80.0,73.59357060849598,0.08825680510973744,58.3882486095016,1.3905180914005117,0.834679222275261,0.03151100531455818,Bullish Pullback/Reclaim,1133.19970703125,1135.0,1080.0,1245.0,2.0,14625190804.876709,True,STOP_ENTRY_BAR,2025-07-24,1135.0,2025-07-24,1080.0,1.0,-1.0,-1.0800454545454572,2025-07-24,Pullback,80-84,70-79
1hari,2025-07-24,OASA.JK,1,BULLISH,5,85.0,89.20780711825488,0.41705362171844573,59.41057006589141,0.47107433120194164,0.3086219793642896,0.06964841022428796,Bullish Pullback/Reclaim,195.0,195.0,174.0,238.0,2.0476190476190474,15657632100.0,True,STOP,2025-07-25,195.0,2025-07-31,174.0,5.0,-1.0,-1.034642857142858,2025-07-31,Pullback,85+,80-89
1hari,2025-07-25,SGRO.JK,1,BULLISH,5,80.0,83.5820895522388,0.22164785292584432,76.94698348942167,1.743187504226114,0.9813551021441491,0.02569022241180969,Breakout Confirmed,2660.28857421875,2670.0,2560.0,2890.0,2.0,1323651885.8276367,True,TARGET,2025-07-28,2670.0,2025-08-13,2890.0,13.0,2.0,1.8979090909090908,2025-08-13,Breakout,80-84,80-89
1hari,2025-07-25,PGEO.JK,2,BULLISH,5,75.0,94.60390355912745,0.7910410809390127,61.68058846107672,0.45963033361406325,-1.253166210357714,0.0502543965107204,Hammer,1541.4739990234375,1545.0,1425.0,1785.0,2.0,129429033228.27759,True,STOP,2025-07-28,1550.989301873382,2025-08-19,1425.0,16.0,-1.0,-1.0467419365394095,2025-08-19,Other,75-79,90+
1hari,2025-07-28,JARR.JK,1,BULLISH,5,100.0,71.98622273249138,0.06108559755192733,62.940985307901045,1.5950803873666628,0.9198475973078188,0.0475786542385376,Bullish Pullback/Reclaim,434.5722961425781,436.0,404.0,500.0,2.0,1614391413.8031006,True,TARGET_ENTRY_BAR,2025-07-29,442.54611838804476,2025-07-29,500.0,1.0,1.490523145121009,1.4408730309820028,2025-07-29,Pullback,85+,70-79
1hari,2025-07-28,PTRO.JK,2,BULLISH,5,90.0,89.89667049368542,0.4202262065223794,64.20202724579798,1.2745744945510382,0.664462915008763,0.06495520810621602,Marubozu Bullish,3920.0,3920.0,3530.0,4700.0,2.0,326048764000.0,True,STOP,2025-07-29,3940.0,2025-08-04,3530.0,5.0,-1.0,-1.0359390243902442,2025-08-04,Other,85+,80-89
1hari,2025-07-29,CASA.JK,1,BULLISH,5,85.0,79.9081515499426,0.1836077786807655,70.58195005335729,0.9647757110233106,-0.1262366962332366,0.02976457157215315,Bullish Pullback/Reclaim,1035.0,1035.0,985.0,1135.0,2.0,5246506500.0,True,TARGET,2025-07-30,1035.0,2025-08-25,1135.0,18.0,2.0,1.9122000000000026,2025-08-25,Pullback,85+,70-79
1hari,2025-07-29,BHAT.JK,2,BULLISH,5,80.0,91.04477611940298,0.45454961052426857,81.72022793975009,1.2314484883171963,1.0129941618360154,0.021661993701747664,Marubozu Bullish,800.0,800.0,770.0,860.0,2.0,1335438250.0,True,TARGET,2025-07-30,800.0,2025-08-13,860.0,11.0,2.0,1.8883333333333325,2025-08-13,Other,80-84,90+
1hari,2025-07-29,SRAJ.JK,3,BULLISH,5,80.0,88.51894374282435,0.3783252499949028,92.4629173571799,1.221678156476172,0.5158792945685601,0.025546877954872302,Marubozu Bullish,4560.0,4560.0,4380.0,4920.0,2.0,3683200000.0,True,TARGET,2025-07-30,4580.0,2025-07-31,4920.0,2.0,1.7,1.6041499999999997,2025-07-31,Other,80-84,80-89
1hari,2025-07-30,ISSP.JK,1,BULLISH,5,90.0,76.92307692307693,0.14253883655944954,62.10309756353677,1.4201389232840134,0.8479579755030846,0.03846005658809989,Bullish Pullback/Reclaim,335.93878173828125,336.0,316.0,376.0,2.0,1041982677.9205322,True,TARGET,2025-07-31,339.73470998775065,2025-08-11,376.0,8.0,1.5279432540345201,1.4668680580144384,2025-08-11,Pullback,85+,70-79
1hari,2025-07-30,ASII.JK,2,BULLISH,5,90.0,62.68656716417911,0.0009645749052196173,74.02370715868896,1.42298793255529,0.9781784391659086,0.01861129304540918,Breakout Confirmed,4819.62646484375,4820.0,4680.0,5100.0,2.0,137644940462.20703,True,STOP,2025-07-31,4820.0,2025-08-01,4680.0,2.0,-1.0,-1.1352142857142877,2025-08-01,Breakout,85+,60-69
1hari,2025-07-30,CARE.JK,3,BULLISH,5,85.0,69.23076923076923,0.057712430090545386,61.301623491609945,0.8799328922522125,0.024902814025097336,0.034988201459051946,Bullish Pullback/Reclaim,240.0,240.0,226.0,268.0,2.0,4871615600.0,True,TARGET,2025-07-31,240.0,2025-08-08,268.0,7.0,2.0,1.9264285714285734,2025-08-08,Pullback,85+,60-69
1hari,2025-07-31,MIDI.JK,1,BULLISH,5,100.0,78.64523536165328,0.16555062592028458,68.29793082784315,1.5536324135320487,0.8974824285629027,0.028528369881100774,Breakout Confirmed,422.6199951171875,424.0,404.0,464.0,2.0,3887419291.671753,True,TARGET,2025-08-01,424.0,2025-08-11,464.0,7.0,2.0,1.9102000000000003,2025-08-11,Breakout,85+,70-79
1hari,2025-07-31,AYAM.JK,2,BULLISH,5,90.0,66.81974741676234,0.04758987263816716,66.8162603788021,1.3107286298134944,1.0077399805198557,0.022867398339321107,Bullish Pullback/Reclaim,166.0,166.0,160.0,178.0,2.0,19103461450.0,True,TIME_EXIT,2025-08-01,166.0,2025-08-29,170.0,20.0,0.6666666666666666,0.5543333333333322,2025-08-29,Pullback,85+,60-69
